Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Light;Magnetic_x;Magnetic_y;Magnetic_z;Proximity;Latitude;Longitude;Elevation;Speed
20211011_185044.0;-0.547;-1.083;9.552;-0.000;-0.004;0.004;220.3;-31.931;5.044;-61.669;5.0;-32.87768;-60.69758;41.1;13.7
20211011_185045.0;-0.109;-0.788;9.135;0.004;0.004;0.022;220.3;-32.700;6.638;-61.950;5.0;-32.87785;-60.69752;40.7;17.2
20211011_185045.5;-0.236;-0.829;9.698;-0.001;-0.003;0.015;197.4;-32.381;5.531;-61.650;5.0;-32.87790;-60.69750;40.7;17.2
20211011_185046.0;-0.423;-0.851;9.813;-0.011;-0.010;-0.007;176.7;-32.663;5.531;-62.419;5.0;-32.87790;-60.69750;40.7;17.2
20211011_185046.5;-0.348;-0.764;9.355;-0.010;0.002;-0.006;176.7;-33.281;6.806;-60.244;5.0;-32.87783;-60.69756;40.7;6.7
20211011_185047.0;-0.389;-0.855;9.698;-0.002;-0.009;0.004;176.7;-35.400;6.056;-60.188;5.0;-32.87783;-60.69756;40.7;6.7
20211011_185047.5;-0.293;-0.786;9.707;0.000;0.005;0.002;176.7;-33.150;7.125;-61.631;5.0;-32.87785;-60.69755;40.3;5.8
20211011_185048.0;-0.430;-0.846;10.004;0.002;-0.027;-0.004;176.7;-33.994;6.506;-60.994;5.0;-32.87785;-60.69755;40.3;5.8
20211011_185048.5;-0.363;-0.795;9.813;-0.009;0.003;-0.003;160.2;-33.413;6.656;-61.313;5.0;-32.87785;-60.69755;41.1;4.2
20211011_185049.0;-0.241;-0.872;9.755;0.001;-0.012;-0.001;160.2;-31.950;5.513;-61.669;5.0;-32.87785;-60.69755;41.1;4.2
20211011_185049.5;-0.341;-0.944;9.980;0.003;-0.002;-0.000;160.2;-33.244;5.700;-61.781;5.0;-32.87786;-60.69755;41.4;4.1
20211011_185050.0;-0.372;-0.980;9.906;0.002;0.002;-0.004;160.2;-32.588;7.575;-62.588;5.0;-32.87786;-60.69755;41.4;4.1
20211011_185050.5;-0.399;-0.427;9.403;0.005;0.004;-0.003;160.2;-31.144;7.238;-62.306;5.0;-32.87787;-60.69754;42.3;3.5
20211011_185051.0;-0.298;-0.740;9.590;-0.004;0.005;-0.000;160.2;-31.256;6.300;-60.600;5.0;-32.87787;-60.69754;42.3;3.5
20211011_185051.5;-0.312;-0.915;9.698;0.004;0.002;0.009;160.2;-32.606;8.063;-64.913;5.0;-32.87788;-60.69754;41.8;2.9
20211011_185052.0;-0.303;-1.076;9.947;-0.004;-0.003;0.008;160.2;-33.431;7.125;-62.719;5.0;-32.87788;-60.69754;41.8;2.9
20211011_185052.5;-0.291;-1.162;9.631;-0.002;0.001;0.002;160.2;-30.975;6.600;-62.456;5.0;-32.87789;-60.69754;42.3;2.3
20211011_185053.0;-0.303;-1.214;9.631;-0.004;0.007;0.002;160.2;-32.700;6.319;-61.650;5.0;-32.87789;-60.69754;42.3;2.3
20211011_185053.5;-0.423;-1.214;9.645;-0.000;-0.001;0.001;160.2;-33.263;6.488;-61.781;5.0;-32.87789;-60.69753;43.6;2.1
20211011_185054.0;-0.358;-0.784;9.858;-0.001;-0.003;0.001;160.2;-32.738;8.213;-60.881;5.0;-32.87789;-60.69753;43.6;2.1
20211011_185054.5;-0.389;-0.781;9.839;-0.001;0.001;-0.000;160.2;-32.681;5.850;-61.950;5.0;-32.87789;-60.69754;44.2;0.0
20211011_185055.0;-0.320;-0.733;9.583;-0.001;-0.001;-0.000;160.2;-32.963;5.700;-61.481;5.0;-32.87789;-60.69754;44.2;0.0
20211011_185055.5;-0.360;-0.719;9.580;0.001;0.002;0.000;160.2;-32.513;5.213;-60.244;5.0;-32.87789;-60.69754;44.5;0.0
20211011_185056.0;-0.336;-0.716;9.597;-0.001;-0.001;0.000;160.2;-32.681;5.850;-61.950;5.0;-32.87789;-60.69754;44.5;0.0
20211011_185056.5;-0.358;-0.779;9.755;-0.001;0.002;0.000;160.2;-32.625;3.956;-61.950;5.0;-32.87789;-60.69754;44.3;0.0
20211011_185057.0;-0.317;-0.728;9.604;-0.001;0.001;-0.000;160.2;-32.700;6.319;-61.650;5.0;-32.87789;-60.69754;44.3;0.0
20211011_185057.5;-0.277;-0.750;9.770;0.001;0.004;0.003;160.2;-31.088;5.194;-61.838;5.0;-32.87788;-60.69754;45.1;0.0
20211011_185058.0;-0.379;-0.740;9.681;0.001;-0.002;0.000;145.1;-32.231;5.213;-61.819;5.0;-32.87788;-60.69754;45.1;0.0
20211011_185058.5;-0.336;-0.788;9.851;-0.000;-0.001;-0.000;145.1;-32.569;6.788;-60.713;5.0;-32.87788;-60.69754;45.1;0.0
20211011_185059.0;-0.351;-0.738;9.734;0.001;0.001;0.001;145.1;-31.538;6.450;-60.750;5.0;-32.87788;-60.69754;45.1;0.0
20211011_185059.5;-0.346;-0.719;9.633;0.002;0.001;-0.001;145.1;-33.206;4.594;-61.481;5.0;-32.87788;-60.69754;45.8;0.0
20211011_185100.0;-0.372;-0.781;9.803;-0.000;-0.002;-0.001;145.1;-33.825;5.869;-61.313;5.0;-32.87788;-60.69754;45.8;0.0
20211011_185100.5;-0.312;-0.762;9.798;-0.001;0.001;0.001;145.1;-31.950;5.513;-61.969;5.0;-32.87788;-60.69754;46.3;0.0
20211011_185101.0;-0.334;-0.724;9.602;0.000;0.001;0.000;145.1;-31.106;5.663;-63.075;5.0;-32.87788;-60.69754;46.3;0.0
20211011_185101.5;-0.377;-0.733;9.614;0.001;0.003;0.001;145.1;-31.706;7.088;-61.369;5.0;-32.87788;-60.69754;46.7;0.0
20211011_185102.0;-0.360;-0.846;9.741;0.000;0.001;0.000;145.1;-32.569;6.788;-62.269;5.0;-32.87788;-60.69754;46.7;0.0
20211011_185102.5;-0.379;-0.767;9.758;0.000;-0.000;-0.000;145.1;-33.000;6.806;-61.013;5.0;-32.87788;-60.69754;46.4;0.0
20211011_185103.0;-0.351;-0.774;9.808;-0.001;-0.001;0.000;145.1;-32.588;7.256;-62.269;5.0;-32.87788;-60.69754;46.4;0.0
20211011_185103.5;-0.329;-0.716;9.635;0.001;0.001;0.001;145.1;-32.531;6.000;-62.269;5.0;-32.87789;-60.69754;45.9;0.0
20211011_185104.0;-0.348;-0.712;9.561;0.001;-0.002;0.000;145.1;-33.131;6.638;-61.631;5.0;-32.87789;-60.69754;45.9;0.0
20211011_185104.5;-0.365;-0.750;9.635;-0.001;-0.000;-0.000;145.1;-32.550;6.788;-60.263;5.0;-32.87789;-60.69754;45.4;0.0
20211011_185105.0;-0.370;-0.788;9.750;-0.000;-0.001;-0.000;145.1;-34.388;5.250;-61.763;5.0;-32.87789;-60.69754;45.5;0.0
20211011_185105.5;-0.348;-0.721;9.616;0.000;-0.002;-0.000;145.1;-32.719;7.106;-61.650;5.0;-32.87789;-60.69754;45.5;0.0
20211011_185106.0;-0.327;-0.748;9.669;-0.000;0.002;0.001;145.1;-32.963;5.700;-62.569;5.0;-32.87789;-60.69754;45.7;0.0
20211011_185106.5;-0.363;-0.748;9.688;0.001;-0.001;0.000;129.7;-32.288;7.256;-60.263;5.0;-32.87789;-60.69754;45.7;0.0
20211011_185107.0;-0.356;-0.757;9.609;0.001;0.002;0.001;116.2;-33.094;5.531;-60.544;5.0;-32.87789;-60.69754;45.8;0.0
20211011_185107.5;-0.303;-0.599;9.458;0.003;-0.002;0.001;105.3;-31.500;4.875;-60.750;5.0;-32.87789;-60.69754;45.8;0.0
20211011_185108.0;-0.291;0.551;9.741;0.007;0.005;0.007;105.3;-33.694;6.488;-60.694;5.0;-32.87789;-60.69754;45.8;0.0
20211011_185108.5;-0.420;1.248;9.935;-0.005;0.005;-0.000;117.6;-32.531;6.000;-60.713;5.0;-32.87789;-60.69754;45.8;0.0
20211011_185109.0;-0.121;1.009;9.810;0.028;0.018;0.009;117.6;-32.531;6.000;-59.944;5.0;-32.87789;-60.69754;45.8;0.0
20211011_185109.5;-0.262;1.147;9.904;-0.004;0.014;-0.001;117.6;-30.938;5.494;-62.006;5.0;-32.87789;-60.69754;45.8;0.0
20211011_185110.0;-0.868;0.194;9.920;0.043;-0.042;-0.007;117.6;-33.075;5.063;-60.075;5.0;-32.87789;-60.69754;45.8;0.0
20211011_185110.5;0.162;-0.812;9.623;-0.017;0.042;0.004;117.6;-32.644;4.744;-60.563;5.0;-32.87789;-60.69754;45.8;0.0
